symbol,value
–,0
Ž,1
™,2
š,3
•,4
‡,5
Œ,6
ž,7
ˆ,8
‡,9
™,10
€,11
‡,12
Ÿ,13
Š,14
‹,15
”,16
•,17
œ,18
”,19
ƒ,20
‚,21
‘,22
š,23
ƒ,24
‘,25
›,26
”,27
Š,28
ž,29
•,30
Ÿ,31
”,32
‡,33
š,34
–,35
™,36
–,37
†,38
›,39
–,40
Œ,41
’,42
Œ,43
’,44
€,45
‘,46
‘,47
ž,48
€,49
™,50
‡,51
›,52
‘,53
€,54
‘,55
•,56
‹,57
›,58
€,59
†,60
œ,61
ƒ,62
š,63
‰,64
€,65
‘,66
Ÿ,67
Ÿ,68
œ,69
‡,70
•,71
˜,72
˜,73
”,74
š,75
’,76
–,77
Ž,78
–,79
Ž,80
”,81
Š,82
…,83
“,84
”,85
›,86
’,87
š,88
‘,89
Ž,90
‘,91
‚,92
‚,93
œ,94
…,95
‹,96
„,97
…,98
Ž,99
ƒ,100
Ž,101
’,102
•,103
‹,104
›,105
‘,106
ˆ,107
—,108
†,109
…,110
ˆ,111
ˆ,112
˜,113
™,114
˜,115
•,116
‰,117
—,118
–,119
ž,120
‚,121
ƒ,122
’,123
Š,124
™,125
‰,126
†,127
€,128
€,129
’,130
‰,131
Œ,132
“,133
Ÿ,134
…,135
Ž,136
‰,137
Š,138
˜,139
š,140
‡,141
˜,142
‘,143
™,144
‚,145
•,146
Š,147
‹,148
Ÿ,149
…,150
‰,151
‡,152
ˆ,153
ˆ,154
™,155
…,156
›,157
‚,158
Š,159
•,160
—,161
™,162
•,163
‹,164
•,165
™,166
’,167
Œ,168
“,169
Ÿ,170
›,171
‹,172
Œ,173
Š,174
–,175
‹,176
ƒ,177
†,178
œ,179
–,180
ƒ,181
Ž,182
›,183
›,184
†,185
‰,186
‚,187
˜,188
Ž,189
—,190
€,191
‹,192
ƒ,193
œ,194
˜,195
€,196
ƒ,197
’,198
Š,199
Š,200
–,201
„,202
„,203
‚,204
‰,205
˜,206
—,207
ˆ,208
…,209
•,210
›,211
š,212
•,213
„,214
‚,215
‰,216
Ž,217
Š,218
˜,219
”,220
™,221
š,222
Ž,223
…,224
‹,225
„,226
•,227
‘,228
š,229
–,230
†,231
‹,232
›,233
’,234
–,235
€,236
™,237
—,238
‡,239
„,240
†,241
ž,242
‚,243
–,244
‹,245
–,246
”,247
‡,248
ž,249
”,250
„,251
Ž,252
œ,253
„,254
ˆ,255
–,256
“,257
‡,258
†,259
‚,260
›,261
Ž,262
˜,263
•,264
œ,265
’,266
•,267
‚,268
œ,269
œ,270
‚,271
ƒ,272
‰,273
Š,274
ž,275
”,276
™,277
—,278
‡,279
€,280
†,281
‘,282
Š,283
‰,284
ƒ,285
˜,286
‡,287
†,288
ƒ,289
Š,290
‚,291
…,292
‹,293
š,294
—,295
’,296
„,297
‰,298
–,299
™,300
™,301
ž,302
Ž,303
‹,304
•,305
œ,306
…,307
‚,308
Ž,309
Ž,310
ˆ,311
™,312
˜,313
›,314
Œ,315
š,316
‰,317
‘,318
ˆ,319
‚,320
„,321
•,322
•,323
“,324
ž,325
’,326
—,327
†,328
–,329
€,330
„,331
’,332
–,333
Š,334
‚,335
…,336
”,337
„,338
Ÿ,339
‡,340
…,341
›,342
‘,343
‰,344
•,345
‰,346
„,347
‚,348
“,349
Œ,350
‚,351
—,352
’,353
–,354
Ž,355
‘,356
ˆ,357
™,358
‰,359
˜,360
Œ,361
Š,362
ˆ,363
Š,364
™,365
•,366
”,367
‰,368
–,369
ˆ,370
Š,371
–,372
”,373
Œ,374
–,375
›,376
“,377
›,378
™,379
ƒ,380
–,381
Š,382
˜,383
›,384
œ,385
€,386
Ž,387
—,388
†,389
‰,390
œ,391
‚,392
Ž,393
Œ,394
…,395
€,396
”,397
ƒ,398
•,399
‚,400
”,401
Š,402
‰,403
‚,404
œ,405
‰,406
Š,407
–,408
š,409
‚,410
”,411
†,412
”,413
Ÿ,414
Ÿ,415
’,416
ƒ,417
‚,418
’,419
™,420
…,421
Š,422
€,423
…,424
’,425
€,426
Œ,427
”,428
–,429
‰,430
’,431
€,432
•,433
Ÿ,434
Š,435
ˆ,436
’,437
Š,438
Ÿ,439
”,440
•,441
„,442
‘,443
‰,444
’,445
‰,446
–,447
“,448
Œ,449
€,450
‡,451
‹,452
š,453
‰,454
‰,455
›,456
†,457
—,458
Œ,459
˜,460
ž,461
’,462
‡,463
’,464
Ÿ,465
š,466
›,467
’,468
˜,469
˜,470
€,471
Š,472
—,473
’,474
ž,475
–,476
š,477
”,478
’,479
‰,480
†,481
…,482
Ÿ,483
™,484
›,485
‘,486
˜,487
‡,488
‡,489
•,490
™,491
‹,492
œ,493
Ÿ,494
„,495
—,496
“,497
†,498
˜,499
